"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Reference","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species","boot.Reference"
"ASV290","ASV290",29.3415199608872,-8.18315820229387,2.45926182608125,-3.32748555501854,0.000876335323150615,0.00134247113333711,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens","oomycetedb_80","100","100","100","100","100","100"," 88"," 81"
"ASV297","ASV297",24.1723131259194,-24.169123376767,2.94556774297328,-8.20525124041806,2.30109171698182e-16,7.20341754881265e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100","100","  6","  6"
"ASV312","ASV312",31.4357746384444,8.55137992489497,2.05411837755401,4.1630414382825,3.14036348727645e-05,4.91535154530227e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100","100"," 38"," 38"
"ASV314","ASV314",7.38448850253793,-22.5684865518632,2.94717407921542,-7.65767000701608,1.89336624530141e-14,4.39749579553875e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 75"," 25"," 25"
"ASV318","ASV318",6.59546096391059,-22.4053807099341,2.94744974070533,-7.60161586489766,2.9245575847144e-14,6.5802545656074e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","oomycetedb_766","100","100","100","100","100","100","100","100"
"ASV338","ASV338",16.7754273403083,-23.681905545838,2.94588029721622,-8.03899111861973,9.05811448503557e-16,2.50840093431754e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 99"," 12"," 12"
"ASV387","ASV387",3.66715264185597,5.45527986188764,1.83137427184465,2.9787902701029,0.00289388783079531,0.00425224334320944,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100","100","100","100"," 18"," 18"
"ASV396","ASV396",14.4052136690192,-7.1570293399112,2.63460060745526,-2.7165519204917,0.00659658476343344,0.00949908205934415,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens","oomycetedb_80","100","100","100","100","100"," 91"," 73"," 69"
"ASV410","ASV410",20.7799887946046,23.3526740651345,2.94589273485558,7.92719768402544,2.24146329575066e-15,5.5650123204844e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_selbyi","oomycetedb_83","100","100","100","100","100"," 95"," 80"," 80"
"ASV508","ASV508",11.7869401897404,7.13498320720329,2.94668357063473,2.42136050110951,0.0154625344736834,0.0210057072095321,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens","Unclassified","100","100","100","100","100","100"," 77"," 49"
