"ASV","log2FoldChange","deseq_pvalue","deseq_padj","wilcox_pvalue","wilcox_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1041",-8.64120861974116,4.58848221490699e-16,9.97728109520473e-15,1.0217071642797e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV1044",-7.20390576921019,7.38712814374565e-05,0.000269803313062585,0.00285558548609658,0.0172845640380103,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Unclassified"
"ASV1061",-8.61266527912946,5.40915787630287e-16,1.14944604871436e-14,1.02689156151545e-05,0.000246762042232163,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV1064",8.19107942422936,1.76567882567698e-14,2.70640934755406e-13,1.02689156151545e-05,0.000246762042232163,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Unclassified"
"ASV1082",8.14813415718018,1.08146576205629e-07,6.24179313285576e-07,0.000380426673390909,0.00327861323475331,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter","Unclassified"
"ASV1090",7.91779396426697,8.50184918440079e-09,5.76031086044547e-08,0.000124779577494758,0.00138763535993127,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","Unclassified","Unclassified"
"ASV1096",8.13177312219496,3.93337737077392e-11,3.43711013240525e-10,3.75846071382431e-05,0.000528162637153206,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Azohydromonas","Unclassified"
"ASV1105",8.1567318770268,3.1098806197552e-11,2.74314941459539e-10,3.74112021791021e-05,0.000528162637153206,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","Unclassified","Unclassified"
"ASV1109",-4.61733013036364,0.00114932698369781,0.00308799060275131,0.00023028123060299,0.00242548744261893,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","Unclassified","Unclassified"
"ASV1112",-4.43669667672004,0.000233488328237737,0.000776256265031583,1.81420935639348e-05,0.000392777572272777,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Unclassified","Unclassified"
"ASV1119",8.16041368660603,2.81087798671697e-11,2.50301992150511e-10,3.74112021791021e-05,0.000528162637153206,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV1121",8.14511076582114,1.94882340061588e-14,2.93895141867073e-13,1.01140180446834e-05,0.000246762042232163,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","Unclassified"
"ASV1127",8.11838567254286,2.71100303185581e-14,3.78326542505252e-13,1.02689156151545e-05,0.000246762042232163,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","Unclassified"
"ASV1131",-8.50738796407088,2.41222978242357e-15,4.42242126777654e-14,1.0217071642797e-05,0.000246762042232163,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Unclassified","Unclassified"
"ASV1133",-8.48200933594907,2.58449103783462e-15,4.64711369302956e-14,1.01654393312803e-05,0.000246762042232163,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 13","Unclassified"
"ASV1141",-8.39493474396498,5.57517342097833e-15,9.14524061160481e-14,1.0217071642797e-05,0.000246762042232163,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia","Unclassified"
"ASV1154",8.10619685404687,2.18786557856414e-14,3.19633486868355e-13,1.02689156151545e-05,0.000246762042232163,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV1158",4.26523086586785,0.00032421451042559,0.00104172016236401,1.7897344280824e-05,0.000392777572272777,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV1159",5.21707983962032,0.000906339848948929,0.00249243458460955,0.000802200902648342,0.00660167386665741,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Unclassified"
"ASV1161",-8.35469970668251,4.4515678014037e-15,7.43252838270082e-14,1.01654393312803e-05,0.000246762042232163,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1","Unclassified"
"ASV1166",-8.44954246734516,9.76341185751484e-10,7.1880236903751e-09,0.000124779577494758,0.00138763535993127,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Unclassified","Unclassified"
