"","Treatment","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence"
"151","DADS_treated","Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium","Leucosporidium_intermedium",0.0127637077049845,10
"152","DADS_treated","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia","Mrakia_blollopis",0.191043004917122,12
"153","DADS_treated","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans",2.79014388007722,12
"154","DADS_treated","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia_globosa",0.00117088401743316,1
"155","DADS_treated","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia_randhawae",0.00183262064752596,1
"156","DADS_treated","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma_fuscescens",2.60740788477509,12
"157","DADS_treated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae",0.000755144421370587,1
"158","DADS_treated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus_festucosus",0.00865346548687307,9
"159","DADS_treated","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_dulcitum",0.000774984214203933,2
"160","DADS_treated","Fungi","Basidiomycota","Ustilaginomycetes","Urocystidales","Urocystidaceae","Urocystis","Urocystis_magica",0.120656397482857,12
"161","DADS_treated","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","Ustilago_nunavutica",0.00241654154904794,3
"162","DADS_treated","Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis_rosea",0.0375484742960843,11
"163","DADS_treated","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces","Powellomyces_hirtus",0.0787432673530429,12
"164","DADS_treated","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Spizellomyces_lactosolyticus",0.05363495865966,11
"165","DADS_treated","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Dominikia","Dominikia_aurea",0.00619620090057158,3
"166","DADS_treated","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Dominikia","Dominikia_iranica",0.00908823527065192,6
"167","DADS_treated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii",0.34853319030709,12
"168","DADS_treated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_hyalina",2.28150341192603,12
"169","DADS_treated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_histoplasmatoides",0.0622556467773741,12
"170","DADS_treated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Necromortierella","Necromortierella_dichotoma",0.000455343784557341,1
"171","DADS_treated","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila_minutissima",0.132342337057376,12
"172","DADS_treated","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia","Absidia_glauca",0.00132150273739853,1
"173","DADS_treated","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Actinomucor","Actinomucor_elegans",0.000795661120557406,2
"174","DADS_treated","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus","Rhizopus_arrhizus",0.0030623356296498,6
